BlockNumber,Trial,RewLeft,RewRight,ProbLeft,VideoSelect
1,1,1,0,0.9,12
1,2,1,0,0.9,5
1,3,1,0,0.9,3
1,4,1,0,0.9,10
1,5,0,1,0.9,7
1,6,1,0,0.9,11
1,7,1,0,0.9,2
1,8,1,0,0.9,4
1,9,1,0,0.9,16
1,10,1,0,0.9,17
1,11,0,1,0.9,9
1,12,1,0,0.9,6
1,13,1,0,0.9,15
1,14,1,0,0.9,14
1,15,1,0,0.9,1
1,16,0,1,0.1,13
1,17,0,1,0.1,8
1,18,0,1,0.1,4
1,19,1,0,0.1,1
1,20,0,1,0.1,7
1,21,0,1,0.1,17
1,22,0,1,0.1,6
1,23,0,1,0.1,9
1,24,0,1,0.1,5
1,25,0,1,0.1,2
1,26,1,0,0.9,14
1,27,1,0,0.9,16
1,28,1,0,0.9,11
1,29,1,0,0.9,13
1,30,1,0,0.9,12
1,31,1,0,0.9,10
1,32,1,0,0.9,3
1,33,0,1,0.9,15
1,34,1,0,0.9,8
1,35,1,0,0.9,10
1,36,0,1,0.1,15
1,37,0,1,0.1,13
1,38,1,0,0.1,1
1,39,0,1,0.1,2
1,40,0,1,0.1,7
1,41,0,1,0.1,3
1,42,0,1,0.1,5
1,43,0,1,0.1,11
1,44,0,1,0.1,17
1,45,0,1,0.1,6
1,46,1,0,0.9,8
1,47,1,0,0.9,16
1,48,1,0,0.9,12
1,49,1,0,0.9,4
1,50,1,0,0.9,14
1,51,0,1,0.9,9
1,52,1,0,0.9,2
1,53,1,0,0.9,12
1,54,1,0,0.9,10
1,55,1,0,0.9,7
1,56,0,1,0.1,16
1,57,0,1,0.1,1
1,58,0,1,0.1,15
1,59,0,1,0.1,4
1,60,1,0,0.1,3
1,61,0,1,0.1,11
1,62,0,1,0.1,9
1,63,0,1,0.1,5
1,64,0,1,0.1,13
1,65,0,1,0.1,6
1,66,0,1,0.1,8
1,67,0,1,0.1,17
1,68,1,0,0.1,14
1,69,0,1,0.1,9
1,70,0,1,0.1,6
